,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
0,Soul,2020,100,8.1,83,185298,
1,Avengers: Endgame,2019,181,8.4,78,823194,858.37
2,The Silence of the Lambs,1991,118,8.6,85,1278197,130.74
3,The Trial of the Chicago 7,2020,129,7.8,77,100982,
4,Once Upon a Time... In Hollywood,2019,161,7.6,83,559691,142.5
5,Thor: Ragnarok,2017,130,7.9,74,593016,315.06
6,Parasite,2019,132,8.6,96,567321,53.37
7,The Gentlemen,2019,113,7.8,51,245990,
8,Knives Out,2019,130,7.9,82,465058,165.36
9,Avengers: Infinity War,2018,149,8.4,68,843274,678.82
10,Kick-Ass,2010,117,7.6,66,525874,48.07
11,The Shawshank Redemption,1994,142,9.3,80,2355198,28.34
12,The Godfather,1972,175,9.2,100,1629827,134.97
13,Titanic,1997,194,7.8,75,1051250,659.33
14,Harry Potter and the Sorcerer's Stone,2001,152,7.6,64,662322,317.58
15,The Wolf of Wall Street,2013,180,8.2,75,1198194,116.9
16,Interstellar,2014,169,8.6,74,1523443,188.02
17,Joker,2019,122,8.4,59,953322,335.45
18,Sound of Metal,2019,120,7.8,82,34859,
19,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,1669523,315.54
20,Inception,2010,148,8.8,74,2078684,292.58
21,Shutter Island,2010,138,8.2,63,1137940,128.01
22,Dunkirk,2017,106,7.8,94,559541,188.37
23,Another Round,2020,117,7.8,81,42156,
24,The Dark Knight,2008,152,9.0,84,2314712,534.86
25,1917,2019,119,8.3,78,436053,159.23
26,Deadpool,2016,108,8.0,65,907276,363.07
27,Pulp Fiction,1994,154,8.9,94,1835622,107.93
28,Dazed and Confused,1993,102,7.6,78,166472,7.99
29,Guardians of the Galaxy,2014,121,8.0,76,1047868,333.18
30,X-Men: Days of Future Past,2014,132,7.9,75,662371,233.92
31,Gone Girl,2014,149,8.1,79,865038,167.77
32,The Princess Bride,1987,98,8.0,77,395301,30.86
33,Dara of Jasenovac,2020,130,8.4,0,32122,
34,The Notebook,2004,123,7.8,53,523042,81.0
35,Inglourious Basterds,2009,153,8.3,69,1275447,120.54
36,The Deer Hunter,1978,183,8.1,86,312873,48.98
37,American Psycho,2000,101,7.6,64,494530,15.07
38,Forrest Gump,1994,142,8.8,82,1819868,330.25
39,Goodfellas,1990,146,8.7,90,1026740,46.84
40,The Departed,2006,151,8.5,85,1195950,132.38
41,The Avengers,2012,143,8.0,69,1265241,623.28
42,About Time,2013,123,7.8,55,305691,15.32
43,Pride & Prejudice,2005,129,7.8,82,260881,38.41
44,The Matrix,1999,136,8.7,73,1685038,171.48
45,Jurassic Park,1993,127,8.1,68,871590,402.45
46,Hamilton,2020,160,8.5,90,58006,
47,Spider-Man: Into the Spider-Verse,2018,117,8.4,87,380678,190.24
48,The Goonies,1985,114,7.8,62,245663,61.5
49,Jojo Rabbit,2019,108,7.9,58,303438,0.35
